index	artist	drug_words	mpqa_pos_words	love_words	mpqa_neut_words	2-3PTokens	1PTokens	action_verbs	1PSTokens	death_words	mpqa_neg_words	sensual_words	concrete_nouns
71	Elliott Smith	9	31	17	11	19	10	1	10	1	34	22	19
72	Elliott Smith	0	12	14	9	15	10	1	10	9	17	8	18
73	Elliott Smith	2	10	2	13	11	6	2	5	3	12	3	16
74	Elliott Smith	1	18	6	8	13	13	0	13	9	17	13	35
75	Elliott Smith	2	10	6	12	20	5	0	5	5	23	3	12
76	Elliott Smith	3	7	6	11	25	7	0	6	1	11	1	9
77	Elliott Smith	5	13	12	4	19	7	0	7	2	13	0	17
78	Elliott Smith	3	17	13	4	16	17	0	16	6	19	6	24
79	Elliott Smith	15	14	17	12	33	13	0	12	3	31	5	32
80	Elliott Smith	2	10	3	4	20	9	0	9	4	18	1	20
81	Elliott Smith	1	24	7	11	15	4	0	4	11	12	5	11
82	Elliott Smith	1	3	6	6	3	7	0	3	4	13	5	7
83	Elliott Smith	3	17	1	12	19	1	0	1	0	16	2	16
84	Elliott Smith	2	16	7	6	24	6	2	4	3	22	3	15
85	Elliott Smith	9	36	31	20	62	43	4	43	14	30	16	48
86	Elliott Smith	2	10	13	5	8	8	0	8	2	13	1	17
87	Elliott Smith	6	13	8	4	15	5	0	5	4	21	0	14
88	Elliott Smith	9	22	26	22	27	20	0	20	7	16	6	34
